Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,CHAPTER NAME,GENUS,SPECIES,FAMILY,ORDER,CLASS,DEPTH RANGE (CM),HABITAT TYPE,HABITAT DESCRIPTION,LIVES IN INTERTIDAL ZONE,LIVES IN SUBTIDAL ZONE,ADDITIONAL NOTES,RAND,Source,Notes
Light and Smith Manual,Porella porifera,Chris Meyer,MeyerC@si.edu,*Pore-bearing porella,Inventory,Bryozoa,Porella,porifera,*Smittinidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Primary aperture with wide lyrula, with median avicularium suboral or on lyrula; distal spine bases in some species, secondary aperture symmetrical""",*Yes,*Yes,"""Colonies thin, flat; no interzooecial avicularia; ovicells, if present, with large imperforate hood in California species""",0.639654709,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Porelloides laevis,Chris Meyer,MeyerC@si.edu,*Smooth porelloides,Inventory,Bryozoa,Porelloides,laevis,*Smittinidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies with smooth surface""",*Yes,*Yes,"""Named for its smooth texture""",0.155303736,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Proboscina cf. major,Chris Meyer,MeyerC@si.edu,*Cyclostome Bryozoan,Inventory,Bryozoa,Proboscina,cf. major,*Oncousoeciidae,*Cyclostomatida,*Stenolaemata,0-0,*Hard substrates,"""Northeast Pacific colonies encrusting, or raising erect growths; autozooid tubules large, coarsely perforate, irregularly extending from base""",No,Yes,"""Gonozooid at distal ends of lobes or at branchings, with many fine pores, simple or expanded around tubules, ooeciostome short; Puget Sound in shallow water, Monterey Bay, Channel Islands to ? Galapagos Islands; more common in deeper water""",0.247086202,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Puellina californensis,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Puellina,californensis,*Cribrilinidae,*Cheilostomatida,*Gymnolaemata,0-18000,"Rock, shell","""Zooids small, shiny, translucent, a small suboral lacuna below proximal apertural rim, five distal spines; frontal shield composed of 13-16 radiate costae with knobs at periphery with marginal buttressed portion slanting upward, five intercostal pores on each side above first costae below lacuna, five to seven on each side between rows of larger costae""",Yes,Yes,"""Gymnocyst wider in young zooids, becoming narrow; acute interzooecial avicularia; ovicells imperforate; encrusting rock, shell; warmer California waters, Channel Islands, Gulf of California""",0.41001564,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Puellina crassilabiata,Chris Meyer,MeyerC@si.edu,*Thick-lipped bryozoan,Inventory,Bryozoa,Puellina,crassilabiata,*Cribrilinidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Zooids small, <600 μm in length; distal apertural rim curved, five distal apertural spines in eastern Pacific species, proximal rim straight, both rims originating from distal gymnocyst""",*Yes,*Yes,"""Modified costae below proximal rim leaving small lacuna below aperture; ovicells with or without pores""",0.629487017,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Puellina perplexa,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Puellina,perplexa,*Cribrilinidae,*Cheilostomatida,*Gymnolaemata,0-20000,*Hard substrates,"""Colonies encrusting; zooids small, oval, five distal spines; medium to large suboral lacuna flanked by two smaller pores, three intercostal pores on each side between costal rows one and two, five between other costae, frontal shield composed of 15-17 costae, gymnocyst hardly visible""",Yes,Yes,"""Interzooecial avicularia acute, directed distolaterally; ovicell with pores sometimes obscured by advanced calcification, sometimes umbonate; ? British Columbia to southern California, ? Galapagos Islands, ? Peru""",0.463504528,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ramphonotus minax,Chris Meyer,MeyerC@si.edu,*Threatening ramphonotus,Inventory,Bryozoa,Ramphonotus,minax,*Calloporidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies with threatening appearance of avicularia""",*Yes,*Yes,"""Named for its intimidating-looking avicularia""",0.998595869,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Raymondcia californica,Chris Meyer,MeyerC@si.edu,*California raymondcia,Inventory,Bryozoa,Raymondcia,californica,*Smittinidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Ovicell formed of one distal, two lateral frontal wall flaps from adjacent zooids, with one or a few small pores; frontal wall pores with granules or spinules inside rims""",*Yes,*Yes,"""Lyrula flanked by condyles, avicularium on lyrula base or proximal to it""",0.716891404,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Raymondcia osburni,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Raymondcia,osburni,*Smittinidae,*Cheilostomatida,*Gymnolaemata,0-10000,"Shell, rock","""Encrusting; zooids ovoid to rectangular, primary aperture wider than high, becoming pyriform, distal rim formed by division in transverse wall, lateral, proximal rims bordered by frontal wall; truncate median lyrula, large paired condyles depressed; frontal wall beaded with large pores showing large coarse granules inside, median suboral oval avicularium directed proximally, mostly outside primary rim""",No,Yes,"""Ovicells composed of merging segments from adjacent zooid frontal wall, with suture lines, sometimes a small pore, becoming immersed to appear as solid frontal wall surrounded by areolae; on shell, rock; S. landsborovii Johnston, 1847, is an eastern Atlantic boreal species mistakenly listed by Osburn from Alaska to Galapagos Islands; shallow water to >100 m. R. osburni, described from the Channel Islands, may range from Alaska to California, ? Galapagos Islands""",0.885716723,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Reginella furcata,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Reginella,furcata,*Cribrilinidae,*Cheilostomatida,*Gymnolaemata,0-16000,*Hard substrates,"""Colonies encrusting; six to eight pairs of costae radiating from central suture, four to six intercostal pores, each costa with two small infundibular intracostal pores; aperture bell shaped, flanked by single or weakly bifurcate spines""",Yes,Yes,"""Ovicells porous, sometimes with faint median keel, blending into next distal frontal wall; British Columbia to San Benito Islands off Baja California""",0.999440427,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Reginella hilli,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Reginella,hilli,*Cribrilinidae,*Cheilostomatida,*Gymnolaemata,0-13000,*Hard substrates,"""Colony encrusting; zooids large, one fused center proximal costa with two to three pairs of costae; single intracostal pores large, pyriform; aperture wider than high, ovoid""",Yes,Yes,"""Ovicell formed from modified costae, with pair of very large pores, central suture; no spines or avicularia. Monterey Bay, Channel Islands; Baja California""",0.049929589,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Reginella hippocrepis,Chris Meyer,MeyerC@si.edu,*Horseshoe bryozoan,Inventory,Bryozoa,Reginella,hippocrepis,*Cribrilinidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""No spines or avicularia known; frontal wall a shield with five to seven large flat costae, gymnocyst extensive outside costae""",*Yes,*Yes,"""One large pyriform pore near center of each costa, one to two intercostal pores; ovicell formed by pair of modified costae, with one large intracostal pore on each side of median suture""",0.646447507,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Reginella mucronata,Chris Meyer,MeyerC@si.edu,*Pointed bryozoan,Inventory,Bryozoa,Reginella,mucronata,*Cribrilinidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""No avicularia; aperture bell-shaped, proximal rim formed of modified pair of costae turned distally at outer ends, raised at sides of aperture""",*Yes,*Yes,"""Five to eight pairs of frontal wall costae, transverse near aperture, radiating proximally from center of shield, one to four intracostal pores, many intercostal pores""",0.515168372,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Reginella nitida,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Reginella,nitida,*Cribrilinidae,*Cheilostomatida,*Gymnolaemata,0-16000,*Hard substrates,"""Very similar to R. furcata. Colonies encrusting; five to eight pairs of flattened costae, five to seven intercostal pores per rib, three to four smaller infundibular intracostal pores atop each costa; aperture ovate, with or without small lateral projections""",Yes,Yes,"""Ovicell with scattered pores, median suture raised into keel; reported from Puget Sound to San Benito Islands off Baja California""",0.780137292,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Reteporella grimaldii,Chris Meyer,MeyerC@si.edu,*Grimaldi's reteporella,Inventory,Bryozoa,Reteporella,grimaldii,*Phidoloporidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Erect, reticulate colonies named after Grimaldi""",*Yes,*Yes,"""Forms delicate mesh-like structures""",0.22327123,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Reteporellina denticulata,Chris Meyer,MeyerC@si.edu,*Denticulate reteporellina,Inventory,Bryozoa,Reteporellina,denticulata,*Phidoloporidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Erect, fenestrate colonies with denticulate apertures""",*Yes,*Yes,"""Forms delicate mesh-like structures""",0.814296356,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Retevirgula tubulata,Chris Meyer,MeyerC@si.edu,*Tubulated retevirgula,Inventory,Bryozoa,Retevirgula,tubulata,*Calloporidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies with tubular structures""",*Yes,*Yes,"""Named for its tubular zooids""",0.595554022,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Rhamphostomella costata,Chris Meyer,MeyerC@si.edu,*Ribbed rhamphostomella,Inventory,Bryozoa,Rhamphostomella,costata,*Umbonulidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies with distinctive ribbed appearance""",*Yes,*Yes,"""Prominent peristome with asymmetrical sinus""",0.228189663,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Rhynchozoon rostratum,Chris Meyer,MeyerC@si.edu,*Beaked rhynchozoon,Inventory,Bryozoa,Rhynchozoon,rostratum,*Phidoloporidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Colony encrusting, zooids irregular, heaped; frontal wall imperforate with large areolae; primary aperture symmetrical, sometimes with two distal spines, wide proximal sinus flanked by strong condyles""",*Yes,*Yes,"""Small, acute, transverse suboral avicularium not median, making secondary aperture asymmetrical, apertures becoming immersed""",0.477526929,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Rhynchozoon tumulosum,Chris Meyer,MeyerC@si.edu,*Tumultuous rhynchozoon,Inventory,Bryozoa,Rhynchozoon,tumulosum,*Phidoloporidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies with tumultuous, irregular growth pattern""",*Yes,*Yes,"""Named for its irregular, heaped appearance""",0.97563745,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizobrachiella sanguinea,Chris Meyer,MeyerC@si.edu,*Bloody schizobrachiella,Inventory,Bryozoa,Schizobrachiella,sanguinea,*Schizoporellidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies with blood-red coloration""",*Yes,*Yes,"""Named for its characteristic red color""",0.924322281,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizomavella acuta,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Schizomavella,acuta,*Bitectiporidae,*Cheilostomatida,*Gymnolaemata,0-10000,"Rock, shell","""Encrusting; zooids quadrate with distinct lateral, transverse wall, frontal wall rugose with small pores, sometimes nodular; aperture curved distally, wider than high, shallow sinus proximally, large, cogged condyles; a median, elongate, acute, suboral avicularium directed proximally outside apertural rim, sometimes skewed""",No,Yes,"""Ovicells reticulate with pores over entire surface, becoming immersed in next distal frontal wall; on rock, shell; Channel Islands south to Baja, Gulf of California; common; 33 m to more 100 m""",0.415746012,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizomavella auriculata,Chris Meyer,MeyerC@si.edu,*Eared bryozoan,Inventory,Bryozoa,Schizomavella,auriculata,*Schizoporellidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Aperture pyriform, a median suboral avicularium as part of sinus dental ledge or proximal on frontal wall, sometimes on umbo""",*Yes,*Yes,"""Some species with other paired lateral avicularia""",0.372098931,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizomavella cornuta,Chris Meyer,MeyerC@si.edu,*Horned schizomavella,Inventory,Bryozoa,Schizomavella,cornuta,*Schizoporellidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies with horn-like projections""",*Yes,*Yes,"""Named for its horn-like structures""",0.281600716,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizomavella robertsonae,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Schizomavella,robertsonae,*Bitectiporidae,*Cheilostomatida,*Gymnolaemata,0-0,Shell,"""Encrusting; zooids irregular, with rugose, porous frontal walls, raised, riblike in center supporting round, proximally directed avicularium; aperture wider than high, with wide, sometimes four spine scars; proximal shallow sinus, blunt condyles""",No,Yes,"""Ovicell nodular, small pores becoming hidden, set off by areolae from distal zooid; on shell; Channel Islands to Coronados Islands, 182 m, but 'S. auriculata' of Osburn recorded from Oregon to Baja California, Gulf of California, shallow water to deep""",0.845423355,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizomavella triavicularia,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Schizomavella,triavicularia,*Bitectiporidae,*Cheilostomatida,*Gymnolaemata,0-6000,"Rock, shell","""Encrusting; zooids quadrate, lateral walls distinct, frontal wall with numerous pores; aperture round, sometimes with three small spine scars, U-shaped sinus proximally within peristome, incised at lower corners; three small rounded avicularia outside peristome, one suboral directed proximally, two flanking aperture directed proximolaterally""",No,Yes,"""Ovicell with crescentic perforate ectooecium, with imperforate ectooecium surrounding distally and laterally, bounded by areolae; on rock, shell; Channel Islands to Galapagos Islands; >60 m, but may range, as S. auriculata: Osburn, from Oregon to Baja California, Gulf of California, shallow water to deep""",0.616157411,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizoporella cornuta,Chris Meyer,MeyerC@si.edu,*Horned schizoporella,Inventory,Bryozoa,Schizoporella,cornuta,*Schizoporellidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies with horn-like avicularia""",*Yes,*Yes,"""Named for its horn-like structures""",0.796959073,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizoporella errata,Chris Meyer,MeyerC@si.edu,*Erratic schizoporella,Inventory,Bryozoa,Schizoporella,errata,*Schizoporellidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting to erect colonies with variable morphology""",*Yes,*Yes,"""Named for its variable and erratic growth form""",0.280643813,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizoporella floridana,Chris Meyer,MeyerC@si.edu,*Florida schizoporella,Inventory,Bryozoa,Schizoporella,floridana,*Schizoporellidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies originally described from Florida""",*Yes,*Yes,"""Distinctive U-shaped sinus on aperture""",0.561472734,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizoporella inarmata,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Schizoporella,inarmata,*Schizoporellidae,*Cheilostomatida,*Gymnolaemata,0-12000,"Rock, shell","""Encrusting; zooids irregular, flattened with large immersed frontal pores, distinct lateral walls; aperture higher than wide, with strong, burred, down-curved condyles, a narrower V-shaped sinus; avicularia absent""",Yes,Yes,"""Ovicell aperture without sinus, ovicell immersed, almost indistinguishable from adjacent porous frontal wall except for sutural lines above transverse walls; on rock, shell; British Columbia to Costa Rica""",0.999949714,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizoporella japonica,Chris Meyer,MeyerC@si.edu,*Japanese schizoporella,Inventory,Bryozoa,Schizoporella,japonica,*Schizoporellidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies, often bright orange-red""",Yes,*Yes,"""Invasive species from Japan, common in harbors""",0.805498483,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizoporella linearis,Chris Meyer,MeyerC@si.edu,*Linear schizoporella,Inventory,Bryozoa,Schizoporella,linearis,*Schizoporellidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies with linear arrangement of zooids""",*Yes,*Yes,"""Named for its linear growth pattern""",0.614719053,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizoporella pseudoerrata,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Schizoporella,pseudoerrata,*Schizoporellidae,*Cheilostomatida,*Gymnolaemata,0-0,"Shell, rock, ships' hulls, pilings","""Encrusting; zooids regularly oriented in first layer, becoming heaped with frontal budding; frontal wall irregularly porous, margins indistinct; aperture wider than high, with thin, sharp condyles, wide, sinus within proximal ledge; avicularia one, two-paired, or absent proximolateral to aperture, raised, acute, directed distolaterally, mandibles not setose""",Yes,Yes,"""Ovicells perforate, sometimes with ribs, becoming immersed; on shell, rock, ships' hulls, pilings; Elkhorn Slough; other distribution uncertain, confused with other species; intertidal, shallow water, sometimes on shells in deeper water""",0.426219178,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizoporella pungens,Chris Meyer,MeyerC@si.edu,*Prickly schizoporella,Inventory,Bryozoa,Schizoporella,pungens,*Schizoporellidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies with prickly surface""",*Yes,*Yes,"""Named for its pointed structures""",0.102144738,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizoporella unicornis,Chris Meyer,MeyerC@si.edu,*Single-horned bryozoan,Inventory,Bryozoa,Schizoporella,unicornis,*Schizoporellidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Aperture with widely U-shaped sinus; ovicells of most species with many pores, some ridged""",*Yes,*Yes,"""Others with central imperforate area or perforate but immersed in next distal zooid may belong in other genera""",0.26350013,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizosmittina cinctipora,Chris Meyer,MeyerC@si.edu,*Belted bryozoan,Inventory,Bryozoa,Schizosmittina,cinctipora,*Smittinidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Aperture with dental ledge containing U-shaped sinus, wide flat condyles above dental ledge flanking sinus, median suboral avicularium on pedestal""",*Yes,*Yes,"""Ovicell raised, with large irregular central pores, imperforate ectooecium rim""",0.673663768,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizosmittina pedicellata,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Schizosmittina,pedicellata,*Bitectiporidae,*Cheilostomatida,*Gymnolaemata,0-10000,"Rock, shell","""Encrusting; zooids irregular, rugose with large frontal wall pores except on pedestal bearing median suboral avicularium originating outside aperture, directed proximally, aperture rounded with five spine scars distally, a deep, U-shaped sinus proximally, condyles shelf-like""",No,Yes,"""Ovicell entooecium with large irregular pores, imperforate ectooecium distally, raised above distal frontal wall, set off by areolae; on rock, shell; recently described from the Channel Islands, but may range from Oregon to Gulf of California; shallow water to deep; new species from Channel Islands""",0.727524641,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Schizotheca fissa,Chris Meyer,MeyerC@si.edu,*Split schizotheca,Inventory,Bryozoa,Schizotheca,fissa,*Phidoloporidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Encrusting colonies with distinctive split appearance""",*Yes,*Yes,"""Named for its fissured structure""",0.373649418,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Scruparia ambigua,Chris Meyer,MeyerC@si.edu,*Ambiguous scruparia,Inventory,Bryozoa,Scruparia,ambigua,*Scrupariidae,Cheilostomatida,Gymnolaemata,*0-500,*Various substrates,"""Colonies delicate, erect, with zooids in pairs or chains""",*Yes,*Yes,"""Distinctive branching pattern""",0.860545655,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Scrupocellaria bertholetti,Chris Meyer,MeyerC@si.edu,*Bertholet's scrupocellaria,Inventory,Bryozoa,Scrupocellaria,bertholetti,*Candidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Colonies tufted, stiff; zooids alternating, biserial""",*Yes,*Yes,"""Distinctive scutum structure""",0.710461136,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Scrupocellaria californica,Chris Meyer,MeyerC@si.edu,*California whip bryozoan,Inventory,Bryozoa,Scrupocellaria,californica,*Candidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Colonies tufted, stiff; zooids alternating, biserial; ovoid with large opesia, scutum a single spine or branched, extending over opesia, other spines distal to aperture""",*Yes,*Yes,"""Small triangular to giant lateral avicularia with curved, acute mandibles; dorsal vibracula with radicle attached at base""",0.668639745,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Scrupocellaria cf. californica,Chris Meyer,MeyerC@si.edu,*Cheilostome Bryozoan,Inventory,Bryozoa,Scrupocellaria,cf. californica,*Candidae,*Cheilostomatida,*Gymnolaemata,0-12000,*Hard substrates,"""Colony erect, biserial, jointed; opesia about half zooid length; ovicell imperforate, striated""",Yes,Yes,"""Originally described S. californica has seven to nine zooids per internode, one spine per zooid, scutum a small spine or paddle shaped, on proximal lobe, small vibraculum or none; currently identified 'S. californica,' needs new name; has three to four zooids per internode, sometimes up to nine per internode, opesia a large oval, two to three outer spines, one inner spine; scutum a single prong or oar shaped; reported from British Columbia, common in central California, Baja California""",0.637008972,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Scrupocellaria diegensis,Chris Meyer,MeyerC@si.edu,*San Diego scrupocellaria,Inventory,Bryozoa,Scrupocellaria,diegensis,*Candidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Colonies tufted, stiff; zooids alternating, biserial""",*Yes,*Yes,"""Common in San Diego region""",0.019285883,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Scrupocellaria varians,Chris Meyer,MeyerC@si.edu,*Variable scrupocellaria,Inventory,Bryozoa,Scrupocellaria,varians,*Candidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Colonies tufted, stiff; zooids alternating, biserial""",*Yes,*Yes,"""Shows considerable morphological variation""",0.690738174,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Securiflustra securifrons,Chris Meyer,MeyerC@si.edu,*Axe-front securiflustra,Inventory,Bryozoa,Securiflustra,securifrons,*Flustridae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Erect, foliaceous colonies with axe-shaped fronds""",*Yes,*Yes,"""Named for its axe-like appearance""",0.464173235,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Sertella californica,Chris Meyer,MeyerC@si.edu,*California sertella,Inventory,Bryozoa,Sertella,californica,*Phidoloporidae,Cheilostomatida,Gymnolaemata,*0-1000,*Various substrates,"""Reticulate, fenestrate colonies""",*Yes,*Yes,"""Distinctive net-like pattern""",0.92074193,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
