Project Request,Scientific Name,Native,Point of Contact for Submission,Email,Common Name,Survey Type,raw
Kathy Ann UC Berkelely Current and former names for California seaweeds,Farlowia conferta,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Farlowia conferta (Setchell) I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Farlowia mollis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Farlowia mollis (Harvey & J.W. Bailey) Farlow & Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Faucheocolax attenuatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Faucheocolax attenuatus Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Feldmannia acuminata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Feldmannia acuminata (DeA. Saunders) G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Feldmannia chitonicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Feldmannia chitonicola (DeA. Saunders) Levring
Kathy Ann UC Berkelely Current and former names for California seaweeds,Feldmannia globifera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Feldmannia globifera (Kützing) G. Hamel
Kathy Ann UC Berkelely Current and former names for California seaweeds,Feldmannia hemispherica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Feldmannia hemispherica (DeA. Saunders) G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Feldmannia irregularis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Feldmannia irregularis (Kützing ) G. Hamel
Kathy Ann UC Berkelely Current and former names for California seaweeds,Feldmannia mitchelliae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Feldmannia mitchelliae (Harvey) H.S. Kim
Kathy Ann UC Berkelely Current and former names for California seaweeds,Feldmannia rhizoidea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Feldmannia rhizoidea G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Feldmannia simplex,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Feldmannia simplex (P.L. Crouan & H.M. Crouan) Hamel
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia acuminata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia acuminata N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Fosliea gardneri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Fosliea gardneri (Collins) Athanasiadis
Kathy Ann UC Berkelely Current and former names for California seaweeds,Fosliella paschalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Fosliella paschalis (Lemoine) Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Fredericqia chiton,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Fredericqia chiton (M.A. Howe) Maggs, L. Le Gall, F. Mineur, J. Provan & G.W. Saunders"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Fredericqia decewii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Fredericqia decewii Maggs, L. Le Gall, F. Mineur, J. Provan & G.W. Saunders"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Fryeella gardneri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Fryeella gardneri (Setchell) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Fryeella gardneri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Fryeella gardneri var. prostrata E. Y. Dawson & Neushul
Kathy Ann UC Berkelely Current and former names for California seaweeds,Fucus distichus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Fucus distichus Linnaeus
Kathy Ann UC Berkelely Current and former names for California seaweeds,Fucus spiralis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Fucus spiralis Linnaeus
Kathy Ann UC Berkelely Current and former names for California seaweeds,Fuscifolium papenfussii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Fuscifolium papenfussii (V. Krishnamurthy) S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gardneriella tuberifera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gardneriella tuberifera Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gastroclonium compressum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gastroclonium compressum (G.J. Hollenberg) C.F. Chang & B.M. Xia
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gastroclonium parvum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gastroclonium parvum (G.J. Hollenberg) C.F. Chang & B.M. Xia
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gayliella taylorii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gayliella taylorii (E.Y. Dawson) T.O. Cho & S.M. Boo
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gelidiocolax mammillatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gelidiocolax mammillatus Fan & G.F. Papenfuss
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gelidiocolax microsphaericus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gelidiocolax microsphaericus N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gelidium arborescens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gelidium arborescens N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gelidium coulteri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gelidium coulteri Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gelidium gabrielsonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gelidium gabrielsonii J.R. Hughey & G.H. Boo
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gelidium kathyanniae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gelidium kathyanniae J.R. Hughey & G.H. Boo
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gelidium nudifrons,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gelidium nudifrons N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gelidium purpurascens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gelidium purpurascens N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gelidium robustum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gelidium robustum (N.L. Gardner) G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gelidium umbricola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gelidium umbricola E.Y. Dawson & Neushul
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gelidium vagum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gelidium vagum Okamura
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gloiocladia fryeana,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gloiocladia fryeana (Setchell) N. Sánchez & C. Rodríguez-Prieto
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gloiocladia galapagensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gloiocladia galapagensis (W.R. Taylor) N. Sánchez & C. Rodríguez-Prieto
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gloiocladia laciniata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gloiocladia laciniata (J. Agardh) N. Sánchez & C. Rodríguez-Prieto
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gloiocladia media,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gloiocladia media (Kylin) Filloramo and G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gloiopeltis furcata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gloiopeltis furcata (Postels & Ruprecht) J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gloiosiphonia californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gloiosiphonia californica (Farlow) J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gloiosiphonia verticillaris,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gloiosiphonia verticillaris Farlow
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gomontia polyrhiza,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gomontia polyrhiza (Lagerheim) Bornet & Flahault
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gonimophyllum skottsbergii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gonimophyllum skottsbergii Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Goniotrichopsis sublittoralis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Goniotrichopsis sublittoralis G.M. Smith
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gracilaria gardneri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Gracilaria gardneri (Setchell) Gurgel, J.N. Norris & S. Fredericq"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gracilaria papenfussii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gracilaria papenfussii I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gracilaria robusta,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gracilaria robusta Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gracilaria textorii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gracilaria textorii var. cunninghamii (Farlow) E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gracilaria turgida,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gracilaria turgida E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gracilaria veleroae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gracilaria veleroae E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gracilaria vermiculophylla,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gracilaria vermiculophylla (Ohmi) G.F. Papenfuss
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gracilariopsis andersonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gracilariopsis andersonii (Grunow) E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gracilariopsis chorda,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gracilariopsis chorda (Holmes) Ohmi
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gracilariopsis oryzoides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Gracilariopsis oryzoides (Setchell et H.L. Wilson) Gurgel, J.N. Norris & S. Fredericq"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Grateloupia asiatica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Grateloupia asiatica S. Kawaguchi & H.W. Wang
Kathy Ann UC Berkelely Current and former names for California seaweeds,Grateloupia californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Grateloupia californica Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Grateloupia prolongata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Grateloupia prolongata J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Grateloupia turuturu,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Grateloupia turuturu Yamada
Kathy Ann UC Berkelely Current and former names for California seaweeds,Griffithsia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Griffithsia pacifica Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gymnogongrus crustiformis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gymnogongrus crustiformis E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gymnogongrus martinensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gymnogongrus martinensis Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Gymnothamnion elegans,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Gymnothamnion elegans (C. Agardh) J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Halorhipis winstonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Halorhipis winstonii (C.L. Anderson) DeA. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Halosaccion glandiforme,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Halosaccion glandiforme (S.G. Gmelin) Ruprecht
Kathy Ann UC Berkelely Current and former names for California seaweeds,Halymenia californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Halymenia californica G.M. Smith & G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Halymenia hollenbergii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Halymenia hollenbergii I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Halymenia schizymenioides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Halymenia schizymenioides G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hapalospongidion gelatinosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hapalospongidion gelatinosum DeA. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Haplogloia andersonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Haplogloia andersonii (Farlow) Levring
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hapterophycus canaliculatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hapterophycus canaliculatus Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hecatonema primarium,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hecatonema primarium (Setchell & N.L. Gardner) S. Loiseaux
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hecatonema streblonematoides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hecatonema streblonematoides (Setchell & N.L. Gardner) S. Loiseaux
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hedophyllum sessile,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hedophyllum sessile (C. Agardh) Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Helminthocladia australis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Helminthocladia australis Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Helminthora stricta,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Helminthora stricta N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Herpochondria borealis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Herpochondria borealis (Ruprecht) Barros-Barreto & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Herposiphonia hollenbergii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Herposiphonia hollenbergii E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Herposiphonia littoralis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Herposiphonia littoralis G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Herposiphonia plumula,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Herposiphonia plumula (J. Agardh) Falkenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Herposiphonia plumula,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Herposiphonia plumula var. parva (Hollenberg) Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Herposiphonia secunda,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Herposiphonia secunda (C. Agardh) Ambronn
Kathy Ann UC Berkelely Current and former names for California seaweeds,Herposiphonia verticillata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Herposiphonia verticillata (Harvey) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Heterosiphonia densiuscula,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Heterosiphonia densiuscula Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Heterosiphonia erecta,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Heterosiphonia erecta N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hildenbrandia dawsonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hildenbrandia dawsonii (Ardre) G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hildenbrandia occidentalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hildenbrandia occidentalis Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hildenbrandia rubra,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hildenbrandia rubra (Sommerfelt) Meneghini
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hincksia granulosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hincksia granulosa (J.E. Smith) P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hincksia hincksiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hincksia hincksiae var. californica (G.J. Hollenberg & I.A. Abbott) P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hincksia sandriana,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hincksia sandriana (Zanardini) P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hincksia saundersii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hincksia saundersii (Setchell & N.L. Gardner) P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hollenbergia nigricans,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hollenbergia nigricans (N.L. Gardner) E.M. Wollaston
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hollenbergia subulata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hollenbergia subulata (Harvey) E.M. Wollaston
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hydroclathrus clathratus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hydroclathrus clathratus (C. Agardh) M.A. Howe
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hymenena cuneifolia,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hymenena cuneifolia M.S. Doty
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hymenena flabelligera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hymenena flabelligera (J. Agardh) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hymenena multiloba,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hymenena multiloba (J. Agardh) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hymenena setchellii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hymenena setchellii N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hypnea johnstonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hypnea johnstonii Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hypnea valentiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hypnea valentiae (Turner) Montagne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hypnea valentiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hypnea valentiae var. gardneri G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Hypnea variabilis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Hypnea variabilis Okamura
Kathy Ann UC Berkelely Current and former names for California seaweeds,Irvinea hancockii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Irvinea hancockii (E.Y. Dawson) Wilkes, McIvor & M. Guiry"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Isabbottia ovalifolia,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Isabbottia ovalifolia (Kylin) M.S. Balakrishnan
Kathy Ann UC Berkelely Current and former names for California seaweeds,Jania crassa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Jania crassa Lamouroux
Kathy Ann UC Berkelely Current and former names for California seaweeds,Jania pedunculata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Jania pedunculata var. adhaerens (Lamouroux) A.S.Harvey, Woelkerling & Reviers"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Jania rosea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Jania rosea (Lamarck) Decaisne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Jania tenella,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Jania tenella (Kützing) Grunow
Kathy Ann UC Berkelely Current and former names for California seaweeds,Jantinella verruciformis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Jantinella verruciformis (Setchell & McFadden) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Johansenia macmillanii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Johansenia macmillanii (Yendo) K.R. Hind & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Kallymenia norrisii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Kallymenia norrisii G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Kallymenia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Kallymenia pacifica Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Kallymeniopsis oblongifructa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Kallymeniopsis oblongifructa (Setchell) G.I. Hansen
Kathy Ann UC Berkelely Current and former names for California seaweeds,Kornmannia leptoderma,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Kornmannia leptoderma (Kjellman) C.V. Bliding
Kathy Ann UC Berkelely Current and former names for California seaweeds,Kuckuckia catalinae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Kuckuckia catalinae G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laminaria cordata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Laminaria cordata E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laminaria ephemera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Laminaria ephemera Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laminaria farlowii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Laminaria farlowii Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laminaria setchellii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Laminaria setchellii P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laminaria sinclairii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Laminaria sinclairii (Harvey ex J.D. Hooker & Harvey) Farlow, C.L. Anderson, & Eaton"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laminariocolax aecidioides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Laminariocolax aecidioides (Rosenvinge) A.F. Peters
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laurencia decidua,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Laurencia decidua E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laurencia gardneri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Laurencia gardneri G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laurencia janczewskii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Laurencia janczewskii M.Preuss, Díaz-Tapia, Verbruggen & Zuccarello"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laurencia lajolla,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Laurencia lajolla E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laurencia lappacea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Laurencia lappacea (Setchell) M.Preuss, Díaz-Tapia, Verbruggen & Zuccarello"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laurencia masonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Laurencia masonii Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laurencia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Laurencia pacifica Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laurencia parasitica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Laurencia parasitica M.Preuss, Díaz-Tapia, Verbruggen & Zuccarello"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laurencia snyderae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Laurencia snyderae E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laurencia solmsii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Laurencia solmsii (Setchell & Guernsey) M.Preuss, Díaz-Tapia, Verbruggen & Zuccarello"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laurencia subdisticha,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Laurencia subdisticha E.Y. Dawson, Neushul & Wildman"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Laurencia subopposita,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Laurencia subopposita (J. Agardh) Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Leachiella pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Leachiella pacifica Kugrens
Kathy Ann UC Berkelely Current and former names for California seaweeds,Leathesia marina,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Leathesia marina (Lyngbye) Decaisne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lejolisia pusilla,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lejolisia pusilla E.Y. Dawson & Neushul
Kathy Ann UC Berkelely Current and former names for California seaweeds,Leptocladia binghamiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Leptocladia binghamiae J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Leptofauchea pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Leptofauchea pacifica E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Leptophytum hyperandri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Leptophytum hyperandri Athanasiadis
