Project.Request	Scientific.Name	Point.of.Contact.for.Submission	Email	Common.Name	Survey.Type
DisMap Aleutian Islands 	SARRITOR FRENATUS	Krista Nichols	krista.nichols@noaa.gov 	Sawback poacher	Encountered
DisMap Aleutian Islands 	SEBASTES ALUTUS	Krista Nichols	krista.nichols@noaa.gov 	Pacific ocean perch	Encountered
DisMap Aleutian Islands 	SEBASTES BOREALIS	Krista Nichols	krista.nichols@noaa.gov 	Shortraker rockfish	Encountered
DisMap Aleutian Islands 	SEBASTES POLYSPINIS	Krista Nichols	krista.nichols@noaa.gov 	Northern rockfish	Encountered
DisMap Aleutian Islands 	SEBASTOLOBUS ALASCANUS	Krista Nichols	krista.nichols@noaa.gov 	Shortspine thornyhead	Encountered
DisMap Aleutian Islands 	TRIGLOPS FORFICATUS	Krista Nichols	krista.nichols@noaa.gov 	Scissortail sculpin	Encountered
DisMap Aleutian Islands 	TRIGLOPS SCEPTICUS	Krista Nichols	krista.nichols@noaa.gov 	Spectacled sculpin	Encountered
DisMap Aleutian Islands 	ZAPRORA SILENUS	Krista Nichols	krista.nichols@noaa.gov 	Prowfish	Encountered
DisMap Eastern and Northern Bering Sea 	ACANTHOLUMPENUS MACKAYI	Krista Nichols	krista.nichols@noaa.gov 	Pighead prickleback	Encountered
DisMap Eastern and Northern Bering Sea 	ASPIDOPHOROIDES OLRIKII	Krista Nichols	krista.nichols@noaa.gov 	Arctic alligatorfish	Encountered
DisMap Eastern and Northern Bering Sea 	ASTERIAS AMURENSIS	Krista Nichols	krista.nichols@noaa.gov 	North pacific seastar	Encountered
DisMap Eastern and Northern Bering Sea 	ATHERESTHES STOMIAS	Krista Nichols	krista.nichols@noaa.gov 	Arrowtooth and kamchatka flounders	Encountered
DisMap Eastern and Northern Bering Sea 	ATHERESTHES EVERMANNI	Krista Nichols	krista.nichols@noaa.gov 	Arrowtooth and kamchatka flounders	Encountered
DisMap Eastern and Northern Bering Sea 	BATHYMASTER SIGNATUS	Krista Nichols	krista.nichols@noaa.gov 	Searcher	Encountered
DisMap Eastern and Northern Bering Sea 	BATHYRAJA SPP.	Krista Nichols	krista.nichols@noaa.gov 	Skate complex	Encountered
DisMap Eastern and Northern Bering Sea 	BOLTENIA OVIFERA	Krista Nichols	krista.nichols@noaa.gov 	Stalked sea squirt	Encountered
DisMap Eastern and Northern Bering Sea 	BOREOGADUS SAIDA	Krista Nichols	krista.nichols@noaa.gov 	Arctic cod	Encountered
DisMap Eastern and Northern Bering Sea 	BUCCINUM ANGULOSUM	Krista Nichols	krista.nichols@noaa.gov 	Angular whelk	Encountered
DisMap Eastern and Northern Bering Sea 	BUCCINUM POLARE	Krista Nichols	krista.nichols@noaa.gov 	Polar whelk	Encountered
DisMap Eastern and Northern Bering Sea 	BUCCINUM SCALARIFORME	Krista Nichols	krista.nichols@noaa.gov 	Ladder whelk	Encountered
DisMap Eastern and Northern Bering Sea 	CHIONOECETES BAIRDI	Krista Nichols	krista.nichols@noaa.gov 	Tanner crab	Encountered
DisMap Eastern and Northern Bering Sea 	CHIONOECETES OPILIO	Krista Nichols	krista.nichols@noaa.gov 	Snow crab	Encountered
DisMap Eastern and Northern Bering Sea 	CHRYSAORA MELANASTER	Krista Nichols	krista.nichols@noaa.gov 		Encountered
DisMap Eastern and Northern Bering Sea 	CLINOPEGMA MAGNUM	Krista Nichols	krista.nichols@noaa.gov 	Helmet whelk	Encountered
DisMap Eastern and Northern Bering Sea 	CLUPEA PALLASII	Krista Nichols	krista.nichols@noaa.gov 	Pacific herring	Encountered
DisMap Eastern and Northern Bering Sea 	CROSSASTER PAPPOSUS	Krista Nichols	krista.nichols@noaa.gov 	Common sunstar	Encountered
DisMap Eastern and Northern Bering Sea 	CTENODISCUS CRISPATUS	Krista Nichols	krista.nichols@noaa.gov 	Mud star	Encountered
DisMap Eastern and Northern Bering Sea 	DASYCOTTUS SETIGER	Krista Nichols	krista.nichols@noaa.gov 	Spinyhead sculpin	Encountered
DisMap Eastern and Northern Bering Sea 	ELEGINUS GRACILIS	Krista Nichols	krista.nichols@noaa.gov 	Saffron cod	Encountered
DisMap Eastern and Northern Bering Sea 	ENOPHRYS DICERAUS	Krista Nichols	krista.nichols@noaa.gov 	Antlered sculpin	Encountered
DisMap Eastern and Northern Bering Sea 	ERIMACRUS ISENBECKII	Krista Nichols	krista.nichols@noaa.gov 	Hair crab	Encountered
DisMap Eastern and Northern Bering Sea 	EUNOE DEPRESSA	Krista Nichols	krista.nichols@noaa.gov 	Depressed scale worm	Encountered
DisMap Eastern and Northern Bering Sea 	EUNOE NODOSA	Krista Nichols	krista.nichols@noaa.gov 	Giant scale worm	Encountered
DisMap Eastern and Northern Bering Sea 	EVASTERIAS ECHINOSOMA	Krista Nichols	krista.nichols@noaa.gov 		Encountered
DisMap Eastern and Northern Bering Sea 	FUSITRITON OREGONENSIS	Krista Nichols	krista.nichols@noaa.gov 	Oregon triton	Encountered
DisMap Eastern and Northern Bering Sea 	GADUS CHALCOGRAMMUS	Krista Nichols	krista.nichols@noaa.gov 	Walleye pollock	Encountered
DisMap Eastern and Northern Bering Sea 	GADUS MACROCEPHALUS	Krista Nichols	krista.nichols@noaa.gov 	Pacific cod	Encountered
DisMap Eastern and Northern Bering Sea 	GLYPTOCEPHALUS ZACHIRUS	Krista Nichols	krista.nichols@noaa.gov 	Rex sole	Encountered
DisMap Eastern and Northern Bering Sea 	GORGONOCEPHALUS EUCNEMIS	Krista Nichols	krista.nichols@noaa.gov 	Basket star	Encountered
DisMap Eastern and Northern Bering Sea 	GYMNOCANTHUS PISTILLIGER	Krista Nichols	krista.nichols@noaa.gov 	Threaded sculpin	Encountered
DisMap Eastern and Northern Bering Sea 	HEMILEPIDOTUS JORDANI	Krista Nichols	krista.nichols@noaa.gov 	Yellow irish lord	Encountered
DisMap Eastern and Northern Bering Sea 	HEMITRIPTERUS BOLINI	Krista Nichols	krista.nichols@noaa.gov 	Bigmouth sculpin	Encountered
DisMap Eastern and Northern Bering Sea 	HEXAGRAMMOS STELLERI	Krista Nichols	krista.nichols@noaa.gov 	Whitespotted greenling	Encountered
DisMap Eastern and Northern Bering Sea 	HIPPOGLOSSOIDES ELASSODON	Krista Nichols	krista.nichols@noaa.gov 	Flathead sole-bering flounder	Encountered
DisMap Eastern and Northern Bering Sea 	HIPPOGLOSSOIDES ROBUSTUS	Krista Nichols	krista.nichols@noaa.gov 	Flathead sole-bering flounder	Encountered
DisMap Eastern and Northern Bering Sea 	HIPPOGLOSSUS STENOLEPIS	Krista Nichols	krista.nichols@noaa.gov 	Pacific halibut	Encountered
DisMap Eastern and Northern Bering Sea 	HYAS COARCTATUS	Krista Nichols	krista.nichols@noaa.gov 	Arctic lyre crab	Encountered
DisMap Eastern and Northern Bering Sea 	HYAS LYRATUS	Krista Nichols	krista.nichols@noaa.gov 	Pacific lyre crab	Encountered
DisMap Eastern and Northern Bering Sea 	ICELUS SPINIGER	Krista Nichols	krista.nichols@noaa.gov 	Thorny sculpin	Encountered
DisMap Eastern and Northern Bering Sea 	LABIDOCHIRUS SPLENDESCENS	Krista Nichols	krista.nichols@noaa.gov 	Splendid hermit	Encountered
DisMap Eastern and Northern Bering Sea 	LEPIDOPSETTA SP.	Krista Nichols	krista.nichols@noaa.gov 	Rock soles	Encountered
DisMap Eastern and Northern Bering Sea 	LEPTASTERIAS POLARIS	Krista Nichols	krista.nichols@noaa.gov 	Polar six-rayed star	Encountered
DisMap Eastern and Northern Bering Sea 	LEPTASTERIAS ARCTICA	Krista Nichols	krista.nichols@noaa.gov 	Arctic star	Encountered
DisMap Eastern and Northern Bering Sea 	LEPTASTERIAS GROENLANDICA	Krista Nichols	krista.nichols@noaa.gov 	Greenland star	Encountered
DisMap Eastern and Northern Bering Sea 	LETHASTERIAS NANIMENSIS	Krista Nichols	krista.nichols@noaa.gov 	Black spined sea star	Encountered
DisMap Eastern and Northern Bering Sea 	LIMANDA ASPERA	Krista Nichols	krista.nichols@noaa.gov 	Yellowfin sole	Encountered
DisMap Eastern and Northern Bering Sea 	LIMANDA PROBOSCIDEA	Krista Nichols	krista.nichols@noaa.gov 	Longhead dab	Encountered
DisMap Eastern and Northern Bering Sea 	LIMANDA SAKHALINENSIS	Krista Nichols	krista.nichols@noaa.gov 	Sakhalin sole	Encountered
DisMap Eastern and Northern Bering Sea 	LIPARIS GIBBUS	Krista Nichols	krista.nichols@noaa.gov 	Variegated snailfish	Encountered
DisMap Eastern and Northern Bering Sea 	LUMPENUS FABRICII	Krista Nichols	krista.nichols@noaa.gov 	Slender eelblenny	Encountered
DisMap Eastern and Northern Bering Sea 	LYCODES BREVIPES	Krista Nichols	krista.nichols@noaa.gov 	Shortfin eelpout	Encountered
DisMap Eastern and Northern Bering Sea 	LYCODES PALEARIS	Krista Nichols	krista.nichols@noaa.gov 	Wattled eelpout	Encountered
DisMap Eastern and Northern Bering Sea 	LYCODES TURNERI	Krista Nichols	krista.nichols@noaa.gov 	Polar eelpout	Encountered
DisMap Eastern and Northern Bering Sea 	MACTROMERIS POLYNYMA	Krista Nichols	krista.nichols@noaa.gov 	Arctic surfclam	Encountered
DisMap Eastern and Northern Bering Sea 	MALLOTUS VILLOSUS	Krista Nichols	krista.nichols@noaa.gov 	Capelin	Encountered
DisMap Eastern and Northern Bering Sea 	MYOXOCEPHALUS JAOK	Krista Nichols	krista.nichols@noaa.gov 	Plain sculpin	Encountered
DisMap Eastern and Northern Bering Sea 	MYOXOCEPHALUS POLYACANTHOCEPHALUS	Krista Nichols	krista.nichols@noaa.gov 	Great sculpin	Encountered
DisMap Eastern and Northern Bering Sea 	MYOXOCEPHALUS SCORPIUS	Krista Nichols	krista.nichols@noaa.gov 	Shorthorn sculpin	Encountered
DisMap Eastern and Northern Bering Sea 	NEPTUNEA BOREALIS	Krista Nichols	krista.nichols@noaa.gov 		Encountered
DisMap Eastern and Northern Bering Sea 	NEPTUNEA HEROS	Krista Nichols	krista.nichols@noaa.gov 	Northern neptune whelk	Encountered
DisMap Eastern and Northern Bering Sea 	NEPTUNEA LYRATA	Krista Nichols	krista.nichols@noaa.gov 	Lyre whelk	Encountered
DisMap Eastern and Northern Bering Sea 	NEPTUNEA PRIBILOFFENSIS	Krista Nichols	krista.nichols@noaa.gov 	Pribilof whelk	Encountered
DisMap Eastern and Northern Bering Sea 	NEPTUNEA VENTRICOSA	Krista Nichols	krista.nichols@noaa.gov 	Fat whelk	Encountered
DisMap Eastern and Northern Bering Sea 	OCCELLA DODECAEDRON	Krista Nichols	krista.nichols@noaa.gov 	Bering poacher	Encountered
DisMap Eastern and Northern Bering Sea 	OPHIURA SARSII	Krista Nichols	krista.nichols@noaa.gov 	Notched brittle star	Encountered
DisMap Eastern and Northern Bering Sea 	OREGONIA GRACILIS	Krista Nichols	krista.nichols@noaa.gov 	Graceful decorator crab	Encountered
DisMap Eastern and Northern Bering Sea 	OSMERUS MORDAX	Krista Nichols	krista.nichols@noaa.gov 	Rainbow smelt	Encountered
DisMap Eastern and Northern Bering Sea 	PAGURUS ALEUTICUS	Krista Nichols	krista.nichols@noaa.gov 	Aleutian hermit	Encountered
DisMap Eastern and Northern Bering Sea 	PAGURUS CAPILLATUS	Krista Nichols	krista.nichols@noaa.gov 	Hairy hermit crab	Encountered
DisMap Eastern and Northern Bering Sea 	PAGURUS OCHOTENSIS	Krista Nichols	krista.nichols@noaa.gov 	Alaskan hermit crab	Encountered
DisMap Eastern and Northern Bering Sea 	PAGURUS RATHBUNI	Krista Nichols	krista.nichols@noaa.gov 	Longfinger hermit	Encountered
DisMap Eastern and Northern Bering Sea 	PAGURUS TRIGONOCHEIRUS	Krista Nichols	krista.nichols@noaa.gov 	Fuzzy hermit	Encountered
DisMap Eastern and Northern Bering Sea 	PALLASINA BARBATA	Krista Nichols	krista.nichols@noaa.gov 	Tubenose poacher	Encountered
DisMap Eastern and Northern Bering Sea 	PANDALUS EOUS	Krista Nichols	krista.nichols@noaa.gov 	Northern shrimp	Encountered
DisMap Eastern and Northern Bering Sea 	PANDALUS GONIURUS	Krista Nichols	krista.nichols@noaa.gov 	Humpy shrimp	Encountered
DisMap Eastern and Northern Bering Sea 	PARALITHODES CAMTSCHATICUS	Krista Nichols	krista.nichols@noaa.gov 	Red king crab	Encountered
DisMap Eastern and Northern Bering Sea 	PARALITHODES PLATYPUS	Krista Nichols	krista.nichols@noaa.gov 	Blue king crab	Encountered
DisMap Eastern and Northern Bering Sea 	PLATICHTHYS STELLATUS	Krista Nichols	krista.nichols@noaa.gov 	Starry flounder	Encountered
DisMap Eastern and Northern Bering Sea 	PLEURONECTES QUADRITUBERCULATUS	Krista Nichols	krista.nichols@noaa.gov 	Alaska plaice	Encountered
DisMap Eastern and Northern Bering Sea 	PLICIFUSUS KROYERI	Krista Nichols	krista.nichols@noaa.gov 	Arctic whelk	Encountered
DisMap Eastern and Northern Bering Sea 	PODOTHECUS ACCIPENSERINUS	Krista Nichols	krista.nichols@noaa.gov 	Sturgeon poacher	Encountered
DisMap Eastern and Northern Bering Sea 	PODOTHECUS VETERNUS	Krista Nichols	krista.nichols@noaa.gov 		Encountered
DisMap Eastern and Northern Bering Sea 	PTERASTER OBSCURUS	Krista Nichols	krista.nichols@noaa.gov 	Obscure cushion star	Encountered
DisMap Eastern and Northern Bering Sea 	REINHARDTIUS HIPPOGLOSSOIDES	Krista Nichols	krista.nichols@noaa.gov 	Greenland halibut	Encountered
DisMap Eastern and Northern Bering Sea 	SARRITOR FRENATUS	Krista Nichols	krista.nichols@noaa.gov 	Sawback poacher	Encountered
DisMap Eastern and Northern Bering Sea 	SCLEROCRANGON BOREAS	Krista Nichols	krista.nichols@noaa.gov 	Sculptured shrimp	Encountered
DisMap Eastern and Northern Bering Sea 	SERRIPES NOTABILIS	Krista Nichols	krista.nichols@noaa.gov 	Oblique smoothcockle	Encountered
DisMap Eastern and Northern Bering Sea 	STRONGYLOCENTROTUS DROEBACHIENSIS	Krista Nichols	krista.nichols@noaa.gov 	Green sea urchin	Encountered
DisMap Eastern and Northern Bering Sea 	STYELA RUSTICA	Krista Nichols	krista.nichols@noaa.gov 	Sea potato	Encountered
DisMap Eastern and Northern Bering Sea 	TELMESSUS CHEIRAGONUS	Krista Nichols	krista.nichols@noaa.gov 	Helmet crab	Encountered
DisMap Eastern and Northern Bering Sea 	THALEICHTHYS PACIFICUS	Krista Nichols	krista.nichols@noaa.gov 	Eulachon	Encountered
DisMap Eastern and Northern Bering Sea 	TRIGLOPS PINGELII	Krista Nichols	krista.nichols@noaa.gov 	Ribbed sculpin	Encountered
DisMap Eastern Bering Sea 	ASTERIAS AMURENSIS	Krista Nichols	krista.nichols@noaa.gov 	North pacific seastar	Encountered
DisMap Eastern Bering Sea 	ATHERESTHES STOMIAS	Krista Nichols	krista.nichols@noaa.gov 	Arrowtooth and kamchatka flounders	Encountered
DisMap Eastern Bering Sea 	ATHERESTHES EVERMANNI	Krista Nichols	krista.nichols@noaa.gov 	Arrowtooth and kamchatka flounders	Encountered
DisMap Eastern Bering Sea 	BATHYMASTER SIGNATUS	Krista Nichols	krista.nichols@noaa.gov 	Searcher	Encountered
DisMap Eastern Bering Sea 	BOLTENIA OVIFERA	Krista Nichols	krista.nichols@noaa.gov 	Stalked sea squirt	Encountered
DisMap Eastern Bering Sea 	BUCCINUM SCALARIFORME	Krista Nichols	krista.nichols@noaa.gov 	Ladder whelk	Encountered
DisMap Eastern Bering Sea 	CHIONOECETES BAIRDI	Krista Nichols	krista.nichols@noaa.gov 	Tanner crab	Encountered
DisMap Eastern Bering Sea 	CHIONOECETES OPILIO	Krista Nichols	krista.nichols@noaa.gov 	Snow crab	Encountered
DisMap Eastern Bering Sea 	CLINOPEGMA MAGNUM	Krista Nichols	krista.nichols@noaa.gov 	Helmet whelk	Encountered
DisMap Eastern Bering Sea 	CLUPEA PALLASII	Krista Nichols	krista.nichols@noaa.gov 	Pacific herring	Encountered
DisMap Eastern Bering Sea 	CROSSASTER PAPPOSUS	Krista Nichols	krista.nichols@noaa.gov 	Common sunstar	Encountered
DisMap Eastern Bering Sea 	CTENODISCUS CRISPATUS	Krista Nichols	krista.nichols@noaa.gov 	Mud star	Encountered
DisMap Eastern Bering Sea 	DASYCOTTUS SETIGER	Krista Nichols	krista.nichols@noaa.gov 	Spinyhead sculpin	Encountered
DisMap Eastern Bering Sea 	ERIMACRUS ISENBECKII	Krista Nichols	krista.nichols@noaa.gov 	Hair crab	Encountered
DisMap Eastern Bering Sea 	EUNOE NODOSA	Krista Nichols	krista.nichols@noaa.gov 	Giant scale worm	Encountered
DisMap Eastern Bering Sea 	FUSITRITON OREGONENSIS	Krista Nichols	krista.nichols@noaa.gov 	Oregon triton	Encountered
DisMap Eastern Bering Sea 	GADUS CHALCOGRAMMUS	Krista Nichols	krista.nichols@noaa.gov 	Walleye pollock	Encountered
DisMap Eastern Bering Sea 	GADUS MACROCEPHALUS	Krista Nichols	krista.nichols@noaa.gov 	Pacific cod	Encountered
DisMap Eastern Bering Sea 	GLYPTOCEPHALUS ZACHIRUS	Krista Nichols	krista.nichols@noaa.gov 	Rex sole	Encountered
DisMap Eastern Bering Sea 	GORGONOCEPHALUS EUCNEMIS	Krista Nichols	krista.nichols@noaa.gov 	Basket star	Encountered
DisMap Eastern Bering Sea 	HEMILEPIDOTUS JORDANI	Krista Nichols	krista.nichols@noaa.gov 	Yellow irish lord	Encountered
DisMap Eastern Bering Sea 	HEMITRIPTERUS BOLINI	Krista Nichols	krista.nichols@noaa.gov 	Bigmouth sculpin	Encountered
DisMap Eastern Bering Sea 	HIPPOGLOSSOIDES ELASSODON	Krista Nichols	krista.nichols@noaa.gov 	Flathead sole-bering flounder	Encountered
DisMap Eastern Bering Sea 	HIPPOGLOSSOIDES ROBUSTUS	Krista Nichols	krista.nichols@noaa.gov 	Flathead sole-bering flounder	Encountered
DisMap Eastern Bering Sea 	HIPPOGLOSSUS STENOLEPIS	Krista Nichols	krista.nichols@noaa.gov 	Pacific halibut	Encountered
DisMap Eastern Bering Sea 	HYAS COARCTATUS	Krista Nichols	krista.nichols@noaa.gov 	Arctic lyre crab	Encountered
DisMap Eastern Bering Sea 	HYAS LYRATUS	Krista Nichols	krista.nichols@noaa.gov 	Pacific lyre crab	Encountered
DisMap Eastern Bering Sea 	ICELUS SPINIGER	Krista Nichols	krista.nichols@noaa.gov 	Thorny sculpin	Encountered
DisMap Eastern Bering Sea 	LEPIDOPSETTA SP.	Krista Nichols	krista.nichols@noaa.gov 	Rock soles	Encountered
DisMap Eastern Bering Sea 	LEPTASTERIAS POLARIS	Krista Nichols	krista.nichols@noaa.gov 	Polar six-rayed star	Encountered
DisMap Eastern Bering Sea 	LEPTASTERIAS ARCTICA	Krista Nichols	krista.nichols@noaa.gov 	Arctic star	Encountered
DisMap Eastern Bering Sea 	LETHASTERIAS NANIMENSIS	Krista Nichols	krista.nichols@noaa.gov 	Black spined sea star	Encountered
DisMap Eastern Bering Sea 	LIMANDA ASPERA	Krista Nichols	krista.nichols@noaa.gov 	Yellowfin sole	Encountered
DisMap Eastern Bering Sea 	LIMANDA PROBOSCIDEA	Krista Nichols	krista.nichols@noaa.gov 	Longhead dab	Encountered
DisMap Eastern Bering Sea 	LYCODES BREVIPES	Krista Nichols	krista.nichols@noaa.gov 	Shortfin eelpout	Encountered
DisMap Eastern Bering Sea 	LYCODES PALEARIS	Krista Nichols	krista.nichols@noaa.gov 	Wattled eelpout	Encountered
DisMap Eastern Bering Sea 	MALLOTUS VILLOSUS	Krista Nichols	krista.nichols@noaa.gov 	Capelin	Encountered
DisMap Eastern Bering Sea 	MYOXOCEPHALUS JAOK	Krista Nichols	krista.nichols@noaa.gov 	Plain sculpin	Encountered
DisMap Eastern Bering Sea 	MYOXOCEPHALUS POLYACANTHOCEPHALUS	Krista Nichols	krista.nichols@noaa.gov 	Great sculpin	Encountered
DisMap Eastern Bering Sea 	NEPTUNEA BOREALIS	Krista Nichols	krista.nichols@noaa.gov 		Encountered
DisMap Eastern Bering Sea 	NEPTUNEA HEROS	Krista Nichols	krista.nichols@noaa.gov 	Northern neptune whelk	Encountered
DisMap Eastern Bering Sea 	NEPTUNEA LYRATA	Krista Nichols	krista.nichols@noaa.gov 	Lyre whelk	Encountered
DisMap Eastern Bering Sea 	NEPTUNEA PRIBILOFFENSIS	Krista Nichols	krista.nichols@noaa.gov 	Pribilof whelk	Encountered
DisMap Eastern Bering Sea 	NEPTUNEA VENTRICOSA	Krista Nichols	krista.nichols@noaa.gov 	Fat whelk	Encountered
DisMap Eastern Bering Sea 	OCCELLA DODECAEDRON	Krista Nichols	krista.nichols@noaa.gov 	Bering poacher	Encountered
DisMap Eastern Bering Sea 	OREGONIA GRACILIS	Krista Nichols	krista.nichols@noaa.gov 	Graceful decorator crab	Encountered
DisMap Eastern Bering Sea 	PANDALUS EOUS	Krista Nichols	krista.nichols@noaa.gov 	Northern shrimp	Encountered
DisMap Eastern Bering Sea 	PARALITHODES CAMTSCHATICUS	Krista Nichols	krista.nichols@noaa.gov 	Red king crab	Encountered
DisMap Eastern Bering Sea 	PARALITHODES PLATYPUS	Krista Nichols	krista.nichols@noaa.gov 	Blue king crab	Encountered
DisMap Eastern Bering Sea 	PLATICHTHYS STELLATUS	Krista Nichols	krista.nichols@noaa.gov 	Starry flounder	Encountered
DisMap Eastern Bering Sea 	PLEURONECTES QUADRITUBERCULATUS	Krista Nichols	krista.nichols@noaa.gov 	Alaska plaice	Encountered
DisMap Eastern Bering Sea 	PLICIFUSUS KROYERI	Krista Nichols	krista.nichols@noaa.gov 	Arctic whelk	Encountered
DisMap Eastern Bering Sea 	PODOTHECUS ACCIPENSERINUS	Krista Nichols	krista.nichols@noaa.gov 	Sturgeon poacher	Encountered
DisMap Eastern Bering Sea 	PTERASTER OBSCURUS	Krista Nichols	krista.nichols@noaa.gov 	Obscure cushion star	Encountered
DisMap Eastern Bering Sea 	REINHARDTIUS HIPPOGLOSSOIDES	Krista Nichols	krista.nichols@noaa.gov 	Greenland halibut	Encountered
DisMap Eastern Bering Sea 	SARRITOR FRENATUS	Krista Nichols	krista.nichols@noaa.gov 	Sawback poacher	Encountered
DisMap Eastern Bering Sea 	STRONGYLOCENTROTUS DROEBACHIENSIS	Krista Nichols	krista.nichols@noaa.gov 	Green sea urchin	Encountered
DisMap Eastern Bering Sea 	STYELA RUSTICA	Krista Nichols	krista.nichols@noaa.gov 	Sea potato	Encountered
DisMap Eastern Bering Sea 	TELMESSUS CHEIRAGONUS	Krista Nichols	krista.nichols@noaa.gov 	Helmet crab	Encountered
DisMap Eastern Bering Sea 	THALEICHTHYS PACIFICUS	Krista Nichols	krista.nichols@noaa.gov 	Eulachon	Encountered
DisMap Gulf of Alaska 	ANOPLOPOMA FIMBRIA	Krista Nichols	krista.nichols@noaa.gov 	Sablefish	Encountered
DisMap Gulf of Alaska 	APHROCALLISTES VASTUS	Krista Nichols	krista.nichols@noaa.gov 	Cloud sponge	Encountered
DisMap Gulf of Alaska 	ATHERESTHES STOMIAS	Krista Nichols	krista.nichols@noaa.gov 	Arrowtooth flounder	Encountered
DisMap Gulf of Alaska 	BATHYMASTER SIGNATUS	Krista Nichols	krista.nichols@noaa.gov 	Searcher	Encountered
DisMap Gulf of Alaska 	BATHYRAJA SPP.	Krista Nichols	krista.nichols@noaa.gov 	Skate complex	Encountered
DisMap Gulf of Alaska 	BERINGRAJA BINOCULATA	Krista Nichols	krista.nichols@noaa.gov 	Big skate	Encountered
DisMap Gulf of Alaska 	BERINGRAJA RHINA	Krista Nichols	krista.nichols@noaa.gov 	Longnose skate	Encountered
DisMap Gulf of Alaska 	BERRYTEUTHIS MAGISTER	Krista Nichols	krista.nichols@noaa.gov 	Magister armhook squid	Encountered
DisMap Gulf of Alaska 	BRISASTER LATIFRONS	Krista Nichols	krista.nichols@noaa.gov 	Northern heart urchin	Encountered
DisMap Gulf of Alaska 	CHIONOECETES BAIRDI	Krista Nichols	krista.nichols@noaa.gov 	Tanner crab	Encountered
DisMap Gulf of Alaska 	CLUPEA PALLASII	Krista Nichols	krista.nichols@noaa.gov 	Pacific herring	Encountered
DisMap Gulf of Alaska 	CROSSASTER PAPPOSUS	Krista Nichols	krista.nichols@noaa.gov 	Common sunstar	Encountered
DisMap Gulf of Alaska 	CTENODISCUS CRISPATUS	Krista Nichols	krista.nichols@noaa.gov 	Mud star	Encountered
DisMap Gulf of Alaska 	CYANEA CAPILLATA	Krista Nichols	krista.nichols@noaa.gov 	Lion's mane	Encountered
DisMap Gulf of Alaska 	DASYCOTTUS SETIGER	Krista Nichols	krista.nichols@noaa.gov 	Spinyhead sculpin	Encountered
DisMap Gulf of Alaska 	FUSITRITON OREGONENSIS	Krista Nichols	krista.nichols@noaa.gov 	Oregon triton	Encountered
DisMap Gulf of Alaska 	GADUS CHALCOGRAMMUS	Krista Nichols	krista.nichols@noaa.gov 	Walleye pollock	Encountered
DisMap Gulf of Alaska 	GADUS MACROCEPHALUS	Krista Nichols	krista.nichols@noaa.gov 	Pacific cod	Encountered
DisMap Gulf of Alaska 	GLYPTOCEPHALUS ZACHIRUS	Krista Nichols	krista.nichols@noaa.gov 	Rex sole	Encountered
DisMap Gulf of Alaska 	GORGONOCEPHALUS EUCNEMIS	Krista Nichols	krista.nichols@noaa.gov 	Basket star	Encountered
DisMap Gulf of Alaska 	HEMILEPIDOTUS JORDANI	Krista Nichols	krista.nichols@noaa.gov 	Yellow irish lord	Encountered
DisMap Gulf of Alaska 	HEMITRIPTERUS BOLINI	Krista Nichols	krista.nichols@noaa.gov 	Bigmouth sculpin	Encountered
DisMap Gulf of Alaska 	HIPPOGLOSSOIDES ELASSODON	Krista Nichols	krista.nichols@noaa.gov 	Flathead sole	Encountered
DisMap Gulf of Alaska 	HIPPOGLOSSUS STENOLEPIS	Krista Nichols	krista.nichols@noaa.gov 	Pacific halibut	Encountered
DisMap Gulf of Alaska 	HYAS LYRATUS	Krista Nichols	krista.nichols@noaa.gov 	Pacific lyre crab	Encountered
DisMap Gulf of Alaska 	HYDROLAGUS COLLIEI	Krista Nichols	krista.nichols@noaa.gov 	Spotted ratfish	Encountered
DisMap Gulf of Alaska 	ISOPSETTA ISOLEPIS	Krista Nichols	krista.nichols@noaa.gov 	Butter sole	Encountered
DisMap Gulf of Alaska 	LEPIDOPSETTA SP.	Krista Nichols	krista.nichols@noaa.gov 	Rock soles	Encountered
DisMap Gulf of Alaska 	LETHASTERIAS NANIMENSIS	Krista Nichols	krista.nichols@noaa.gov 	Black spined sea star	Encountered
DisMap Gulf of Alaska 	LIMANDA ASPERA	Krista Nichols	krista.nichols@noaa.gov 	Yellowfin sole	Encountered
DisMap Gulf of Alaska 	LYCODES BREVIPES	Krista Nichols	krista.nichols@noaa.gov 	Shortfin eelpout	Encountered
DisMap Gulf of Alaska 	LYCODES PALEARIS	Krista Nichols	krista.nichols@noaa.gov 	Wattled eelpout	Encountered
DisMap Gulf of Alaska 	LYOPSETTA EXILIS	Krista Nichols	krista.nichols@noaa.gov 	Slender sole	Encountered
DisMap Gulf of Alaska 	MALACOCOTTUS ZONURUS	Krista Nichols	krista.nichols@noaa.gov 	Darkfin sculpin	Encountered
DisMap Gulf of Alaska 	MALLOTUS VILLOSUS	Krista Nichols	krista.nichols@noaa.gov 	Capelin	Encountered
DisMap Gulf of Alaska 	MICROSTOMUS PACIFICUS	Krista Nichols	krista.nichols@noaa.gov 	Dover sole	Encountered
DisMap Gulf of Alaska 	MYCALE LOVENI	Krista Nichols	krista.nichols@noaa.gov 	Loven's horny sponge	Encountered
DisMap Gulf of Alaska 	MYOXOCEPHALUS POLYACANTHOCEPHALUS	Krista Nichols	krista.nichols@noaa.gov 	Great sculpin	Encountered
