Project Request,Scientific name,Point of Contact for Submission,Email,Common Name,Survey Type,species_code
NMFS AFSC GAP Survey,Onchidiopsis glacialis,Emily Markowtiz,emily.markowitz@noaa.gov,icy lamellaria,Encountered,71585
NMFS AFSC GAP Survey,Piliscus commodus,Emily Markowtiz,emily.markowitz@noaa.gov,widemouth lamellaria,Encountered,71586
NMFS AFSC GAP Survey,Onchidiopsis sp. A (Clark and McLean),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71587
NMFS AFSC GAP Survey,Onchidiopsis brevipes,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71588
NMFS AFSC GAP Survey,Onchidiopsis clarki,Emily Markowtiz,emily.markowitz@noaa.gov,warty blobsnail,Encountered,71589
NMFS AFSC GAP Survey,Onchidiopsis sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71590
NMFS AFSC GAP Survey,Lamellaria sp. A (Clark and McLean),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71591
NMFS AFSC GAP Survey,Lamellaria sp. B (Clark and McLean),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71592
NMFS AFSC GAP Survey,Lamellaria sp. C (Clark and McLean),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71593
NMFS AFSC GAP Survey,Lamellaria sp. D (Clark and McLean),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71594
NMFS AFSC GAP Survey,Lamellaria sp. E (Clark and McLean),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71595
NMFS AFSC GAP Survey,Lamellaria sp. F (McLean and Clark),Emily Markowtiz,emily.markowitz@noaa.gov,white lamellarid,Encountered,71596
NMFS AFSC GAP Survey,Onchidiopsis carnea,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71597
NMFS AFSC GAP Survey,Onchidiopsis maculata,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71598
NMFS AFSC GAP Survey,Tachyrhynchus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71631
NMFS AFSC GAP Survey,Tachyrhynchus erosus,Emily Markowtiz,emily.markowitz@noaa.gov,eroded turretsnail,Encountered,71634
NMFS AFSC GAP Survey,Tachyrhynchus reticulatus,Emily Markowtiz,emily.markowitz@noaa.gov,reticulated turretsnail,Encountered,71635
NMFS AFSC GAP Survey,Turritella sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71636
NMFS AFSC GAP Survey,Calyptraeidae,Emily Markowtiz,emily.markowitz@noaa.gov,slippersnails,Encountered,71639
NMFS AFSC GAP Survey,Sternostylus iaspis,Emily Markowtiz,emily.markowitz@noaa.gov,thorny pinch bug,Encountered,69555
NMFS AFSC GAP Survey,Grimothea quadrispina,Emily Markowtiz,emily.markowitz@noaa.gov,pinchbug,Encountered,69556
NMFS AFSC GAP Survey,Albuneidae,Emily Markowtiz,emily.markowitz@noaa.gov,mole crab,Encountered,69557
NMFS AFSC GAP Survey,Polycheles sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,69559
NMFS AFSC GAP Survey,Stereomastis sculpta,Emily Markowtiz,emily.markowitz@noaa.gov,deep-sea lobster,Encountered,69560
NMFS AFSC GAP Survey,Lophaxius investigatoris,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,69642
NMFS AFSC GAP Survey,Callianassa sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,69650
NMFS AFSC GAP Survey,Neotrypaea gigas,Emily Markowtiz,emily.markowitz@noaa.gov,giant ghost shrimp,Encountered,69651
NMFS AFSC GAP Survey,Callianopsis goniophthalma,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,69652
NMFS AFSC GAP Survey,Neotrypaea californiensis,Emily Markowtiz,emily.markowitz@noaa.gov,ghost shrimp,Encountered,69653
NMFS AFSC GAP Survey,Upogebia pugettensis,Emily Markowtiz,emily.markowitz@noaa.gov,blue mud shrimp,Encountered,69655
NMFS AFSC GAP Survey,Pycnogonida,Emily Markowtiz,emily.markowitz@noaa.gov,sea spider unid.,Encountered,69900
NMFS AFSC GAP Survey,Hedgpethia sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,69905
NMFS AFSC GAP Survey,Colossendeis sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,69910
NMFS AFSC GAP Survey,Hedgpethia dofleini,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,69911
NMFS AFSC GAP Survey,Colossendeis microsetosa,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,69912
NMFS AFSC GAP Survey,Nymphon sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,69920
NMFS AFSC GAP Survey,Pycnogonum sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,69930
NMFS AFSC GAP Survey,Mollusca,Emily Markowtiz,emily.markowitz@noaa.gov,mollusk unid.,Encountered,70000
NMFS AFSC GAP Survey,Aplacophora,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70049
NMFS AFSC GAP Survey,Neomeniomorpha,Emily Markowtiz,emily.markowitz@noaa.gov,solenogaster unidentified,Encountered,70050
NMFS AFSC GAP Survey,Neomenia sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70060
NMFS AFSC GAP Survey,Neomenia cf. yamamotoi (Clark 2006),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70062
NMFS AFSC GAP Survey,Polyplacophora,Emily Markowtiz,emily.markowitz@noaa.gov,chiton unid.,Encountered,70100
NMFS AFSC GAP Survey,Cryptochiton stelleri,Emily Markowtiz,emily.markowitz@noaa.gov,giant Pacific chiton,Encountered,70108
NMFS AFSC GAP Survey,Stenosemus golikovi,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70109
NMFS AFSC GAP Survey,Tripoplax trifida,Emily Markowtiz,emily.markowitz@noaa.gov,grooved chiton,Encountered,70110
NMFS AFSC GAP Survey,Tripoplax beringiana,Emily Markowtiz,emily.markowitz@noaa.gov,deepsea chiton,Encountered,70111
NMFS AFSC GAP Survey,Tripoplax abyssicola,Emily Markowtiz,emily.markowitz@noaa.gov,Bering chiton,Encountered,70112
NMFS AFSC GAP Survey,Lepidozona sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70113
NMFS AFSC GAP Survey,Lepidozona retiporosa,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70114
NMFS AFSC GAP Survey,Amicula vestita,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70115
NMFS AFSC GAP Survey,Placiphorella sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70119
NMFS AFSC GAP Survey,Placiphorella pacifica,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70122
NMFS AFSC GAP Survey,Placiphorella rufa,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70123
NMFS AFSC GAP Survey,Leptochiton sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70124
NMFS AFSC GAP Survey,Belknapchiton alveolus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70125
NMFS AFSC GAP Survey,Mopalia swanii,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70126
NMFS AFSC GAP Survey,Belknapchiton belknapi,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70127
NMFS AFSC GAP Survey,Tonicella sp.,Emily Markowtiz,emily.markowitz@noaa.gov,Tonicella chitons,Encountered,70134
NMFS AFSC GAP Survey,Tonicella insignis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70135
NMFS AFSC GAP Survey,Mopalia egretta,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70140
NMFS AFSC GAP Survey,Stenosemus albus,Emily Markowtiz,emily.markowitz@noaa.gov,northern white chiton,Encountered,70150
NMFS AFSC GAP Survey,Stenosemus sharpii,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70151
NMFS AFSC GAP Survey,Neptunea gyroscopoides,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,70871
NMFS AFSC GAP Survey,Gastropoda egg,Emily Markowtiz,emily.markowitz@noaa.gov,snail egg,Encountered,71001
NMFS AFSC GAP Survey,Buccinum sp. egg,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71002
NMFS AFSC GAP Survey,Colus barbarinus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71733
NMFS AFSC GAP Survey,Aulacofusus trophius,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71734
NMFS AFSC GAP Survey,Habevolutopsius attenuatus,Emily Markowtiz,emily.markowitz@noaa.gov,attenuate melon whelk,Encountered,71739
NMFS AFSC GAP Survey,Japelion sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71741
NMFS AFSC GAP Survey,Boreancistrolepis excelsus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71742
NMFS AFSC GAP Survey,Japelion sp. B,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71743
NMFS AFSC GAP Survey,Laevisipho galaxaios,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71745
NMFS AFSC GAP Survey,Laevisipho kessleri,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71746
NMFS AFSC GAP Survey,Pyrulofusus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71747
NMFS AFSC GAP Survey,Habevolutopsius hirasei,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71748
NMFS AFSC GAP Survey,Pyrulofusus dexius,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71749
NMFS AFSC GAP Survey,Volutopsius sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71750
NMFS AFSC GAP Survey,Volutopsius sp. eggs,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71751
NMFS AFSC GAP Survey,Pyrulofusus sp. eggs,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71752
NMFS AFSC GAP Survey,Pyrulofusus deformis,Emily Markowtiz,emily.markowitz@noaa.gov,warped whelk,Encountered,71753
NMFS AFSC GAP Survey,Pyrulofusus deformis egg,Emily Markowtiz,emily.markowitz@noaa.gov,warped whelk egg,Encountered,71754
NMFS AFSC GAP Survey,Pyrulofusus harpa,Emily Markowtiz,emily.markowitz@noaa.gov,left-hand whelk,Encountered,71755
NMFS AFSC GAP Survey,Volutopsius fragilis,Emily Markowtiz,emily.markowitz@noaa.gov,fragile whelk,Encountered,71756
NMFS AFSC GAP Survey,Volutopsius regularis,Emily Markowtiz,emily.markowitz@noaa.gov,regular whelk,Encountered,71757
NMFS AFSC GAP Survey,Volutopsius fragilis egg,Emily Markowtiz,emily.markowitz@noaa.gov,fragile whelk egg,Encountered,71758
NMFS AFSC GAP Survey,Volutopsius castaneus,Emily Markowtiz,emily.markowitz@noaa.gov,volute whelk,Encountered,71760
NMFS AFSC GAP Survey,Pyrulofusus melonis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71761
NMFS AFSC GAP Survey,Volutopsius simplex,Emily Markowtiz,emily.markowitz@noaa.gov,simple whelk,Encountered,71762
NMFS AFSC GAP Survey,Volutopsius stefanssoni,Emily Markowtiz,emily.markowitz@noaa.gov,shouldered whelk,Encountered,71763
NMFS AFSC GAP Survey,Volutopsius middendorffi,Emily Markowtiz,emily.markowitz@noaa.gov,tulip whelk,Encountered,71764
NMFS AFSC GAP Survey,Volutopsius trophonius,Emily Markowtiz,emily.markowitz@noaa.gov,frilled whelk,Encountered,71765
NMFS AFSC GAP Survey,Volutopsius pallidus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71766
NMFS AFSC GAP Survey,Crebrivolutopsius labidentatus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71767
NMFS AFSC GAP Survey,Volutopsius nanus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71768
NMFS AFSC GAP Survey,Beringius sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71769
NMFS AFSC GAP Survey,Beringius kennicottii,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71770
NMFS AFSC GAP Survey,Neoberingius frielei,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71771
NMFS AFSC GAP Survey,Beringius behringii,Emily Markowtiz,emily.markowitz@noaa.gov,Bering beringius,Encountered,71772
NMFS AFSC GAP Survey,Aleutijapelion aleuticus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71773
NMFS AFSC GAP Survey,Beringius stimpsoni,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71774
NMFS AFSC GAP Survey,Beringius crebricostatus,Emily Markowtiz,emily.markowitz@noaa.gov,thick-cord whelk,Encountered,71775
NMFS AFSC GAP Survey,Beringius undatus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71776
NMFS AFSC GAP Survey,Beringius sp. eggs,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71777
NMFS AFSC GAP Survey,Neptunea baxteri,Emily Markowtiz,emily.markowitz@noaa.gov,Baxter Beringius,Encountered,71778
NMFS AFSC GAP Survey,Beringius bisulcatus,Emily Markowtiz,emily.markowitz@noaa.gov,two-channeled Beringius,Encountered,71779
NMFS AFSC GAP Survey,Beringius eyerdami,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71780
NMFS AFSC GAP Survey,Beringius incisus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71781
NMFS AFSC GAP Survey,Beringius aurulentus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71782
NMFS AFSC GAP Survey,Exiloberingius fragilis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71783
NMFS AFSC GAP Survey,Beringius undataformis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71784
NMFS AFSC GAP Survey,Beringius amliensis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71785
NMFS AFSC GAP Survey,Beringius sp. G (McLean and Clark),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71786
NMFS AFSC GAP Survey,Neptunea dominator,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71788
NMFS AFSC GAP Survey,Beringius nearensis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71789
NMFS AFSC GAP Survey,Neoberingius sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71790
NMFS AFSC GAP Survey,Beringius sp. J (McLean and Clark),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71792
NMFS AFSC GAP Survey,Beringius sp. K (McLean and Clark),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71793
NMFS AFSC GAP Survey,Beringius marshalli,Emily Markowtiz,emily.markowitz@noaa.gov,Marshall's neptune,Encountered,71794
NMFS AFSC GAP Survey,Calinaticina oldroydii,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71795
NMFS AFSC GAP Survey,Scabrotrophon rossicus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72396
NMFS AFSC GAP Survey,Scabrotrophon densicostatus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72397
NMFS AFSC GAP Survey,Scabrotrophon scarlatoi,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72398
NMFS AFSC GAP Survey,Scabrotrophon sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72399
NMFS AFSC GAP Survey,Boreotrophon beringi,Emily Markowtiz,emily.markowitz@noaa.gov,Bering trophon,Encountered,72401
NMFS AFSC GAP Survey,Boreotrophon alaskanus,Emily Markowtiz,emily.markowitz@noaa.gov,Alaskan trophon,Encountered,72402
NMFS AFSC GAP Survey,Nodulotrophon coronatus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72403
NMFS AFSC GAP Survey,Boreotrophon rotundatus,Emily Markowtiz,emily.markowitz@noaa.gov,rotund trophon,Encountered,72404
NMFS AFSC GAP Survey,Warenia elegantula,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72405
NMFS AFSC GAP Survey,Boreotrophon clathratus,Emily Markowtiz,emily.markowitz@noaa.gov,clathrate trophon,Encountered,72406
NMFS AFSC GAP Survey,Scabrotrophon stuarti,Emily Markowtiz,emily.markowitz@noaa.gov,winged trophon,Encountered,72407
NMFS AFSC GAP Survey,Boreotrophon kamchatkanus,Emily Markowtiz,emily.markowitz@noaa.gov,Kamchatka trophon,Encountered,72408
NMFS AFSC GAP Survey,Boreotrophon multicostatus,Emily Markowtiz,emily.markowitz@noaa.gov,ribbed trophon,Encountered,72409
NMFS AFSC GAP Survey,Boreotrophon sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72420
NMFS AFSC GAP Survey,Boreotrophon pacificus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72421
NMFS AFSC GAP Survey,Ceratostoma foliatum,Emily Markowtiz,emily.markowitz@noaa.gov,foliate thornmouth,Encountered,72423
NMFS AFSC GAP Survey,Nipponotrophon exquisitus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72436
NMFS AFSC GAP Survey,Fusitriton oregonensis,Emily Markowtiz,emily.markowitz@noaa.gov,Oregon triton,Encountered,72500
NMFS AFSC GAP Survey,Fusitriton sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72501
NMFS AFSC GAP Survey,Trochidae,Emily Markowtiz,emily.markowitz@noaa.gov,trochid unid.,Encountered,72510
NMFS AFSC GAP Survey,Calliostoma sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72511
NMFS AFSC GAP Survey,Akoya platinum,Emily Markowtiz,emily.markowitz@noaa.gov,silvery topsnail,Encountered,72512
NMFS AFSC GAP Survey,Calliostoma variegatum,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72514
NMFS AFSC GAP Survey,Volutharpa ampullacea,Emily Markowtiz,emily.markowitz@noaa.gov,paper whelk,Encountered,71798
NMFS AFSC GAP Survey,Neptunea sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71800
NMFS AFSC GAP Survey,Neptunea ventricosa egg,Emily Markowtiz,emily.markowitz@noaa.gov,fat whelk egg,Encountered,71801
NMFS AFSC GAP Survey,Neptunea phoenicea,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71802
NMFS AFSC GAP Survey,Neptunea meridionalis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71803
NMFS AFSC GAP Survey,Neptunea amianta,Emily Markowtiz,emily.markowitz@noaa.gov,white neptune,Encountered,71810
NMFS AFSC GAP Survey,Neptunea smirnia,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71811
NMFS AFSC GAP Survey,Cartilagovelutina beringensis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71812
NMFS AFSC GAP Survey,Neptunea pribiloffensis,Emily Markowtiz,emily.markowitz@noaa.gov,Pribilof whelk,Encountered,71820
NMFS AFSC GAP Survey,Neptunea tabulata,Emily Markowtiz,emily.markowitz@noaa.gov,tabled whelk,Encountered,71822
NMFS AFSC GAP Survey,Neptunea borealis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71835
NMFS AFSC GAP Survey,Neptunea middendorffiana,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71840
NMFS AFSC GAP Survey,Neptunea eulimata,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71850
NMFS AFSC GAP Survey,Neptunea stilesi,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71866
NMFS AFSC GAP Survey,Neptunea lyrata,Emily Markowtiz,emily.markowitz@noaa.gov,lyre whelk,Encountered,71870
NMFS AFSC GAP Survey,Neptunea ithia,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71881
NMFS AFSC GAP Survey,Neptunea ventricosa,Emily Markowtiz,emily.markowitz@noaa.gov,fat whelk,Encountered,71882
NMFS AFSC GAP Survey,Neptunea insularis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71883
NMFS AFSC GAP Survey,Neptunea heros,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71884
NMFS AFSC GAP Survey,Neptunea sp. E (Clark and McLean),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71885
NMFS AFSC GAP Survey,Clinopegma magnum,Emily Markowtiz,emily.markowitz@noaa.gov,helmet whelk,Encountered,71886
NMFS AFSC GAP Survey,Neptunea aleutica,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71887
NMFS AFSC GAP Survey,Neptunea vesteraalen,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71888
NMFS AFSC GAP Survey,Neptunea petrelensis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71889
NMFS AFSC GAP Survey,Plicifusus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71890
NMFS AFSC GAP Survey,Plicifusus kroyeri,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71891
NMFS AFSC GAP Survey,Plicifusus olivaceus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71892
NMFS AFSC GAP Survey,Retifusus jessoensis,Emily Markowtiz,emily.markowitz@noaa.gov,brown whelk,Encountered,71893
NMFS AFSC GAP Survey,Colus verkruezeni,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71894
NMFS AFSC GAP Survey,Plicifusus rodgersi,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71895
NMFS AFSC GAP Survey,Plicifusus oceanodromae,Emily Markowtiz,emily.markowitz@noaa.gov,seahorse whelk,Encountered,71896
NMFS AFSC GAP Survey,Retifusus virens,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71897
NMFS AFSC GAP Survey,Volutopsius stejnegeri,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71898
NMFS AFSC GAP Survey,Plicifusus sp. A (Clark and McLean),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71899
NMFS AFSC GAP Survey,Colus griseus,Emily Markowtiz,emily.markowitz@noaa.gov,gray whelk,Encountered,71900
NMFS AFSC GAP Survey,Sulcosinus taphrium,Emily Markowtiz,emily.markowitz@noaa.gov,sulcated whelk,Encountered,71901
NMFS AFSC GAP Survey,Plicifusus johanseni,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71902
NMFS AFSC GAP Survey,Exilioidea rectirostris,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71904
NMFS AFSC GAP Survey,Exilioidea kelseyi,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71905
NMFS AFSC GAP Survey,Retimohnia robusta,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71906
NMFS AFSC GAP Survey,Liomesus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71910
NMFS AFSC GAP Survey,Pseudoliomesus ooides,Emily Markowtiz,emily.markowitz@noaa.gov,egg whelk,Encountered,71911
NMFS AFSC GAP Survey,Pseudoliomesus canaliculatus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71912
NMFS AFSC GAP Survey,Pseudoliomesus nassula,Emily Markowtiz,emily.markowitz@noaa.gov,basket whelk,Encountered,71913
NMFS AFSC GAP Survey,Neptunea sp. D (Clark and McLean),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71915
NMFS AFSC GAP Survey,Neptunea alexeyevi,Emily Markowtiz,emily.markowitz@noaa.gov,sinuous neptune,Encountered,71916
NMFS AFSC GAP Survey,Neptunea sp. G (Clark and McLean),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71917
NMFS AFSC GAP Survey,Aulacofusus tanagaensis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71925
NMFS AFSC GAP Survey,Aulacofusus canaliculatus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71926
NMFS AFSC GAP Survey,Ancistrolepis sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,71960
NMFS AFSC GAP Survey,Antiplanes sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72019
NMFS AFSC GAP Survey,Antiplanes catalinae,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72020
NMFS AFSC GAP Survey,Antiplanes thalaea,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72021
NMFS AFSC GAP Survey,Antiplanes piona,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72022
NMFS AFSC GAP Survey,Antiplanes vinosa,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72023
NMFS AFSC GAP Survey,Antiplanes sp. A (Clark and McLean),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72024
NMFS AFSC GAP Survey,Rectiplanes sp. A (Clark and McLean),Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72026
NMFS AFSC GAP Survey,Plicifusus bambusus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72027
NMFS AFSC GAP Survey,Suavodrillia kennicotti,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72030
NMFS AFSC GAP Survey,Turridae,Emily Markowtiz,emily.markowitz@noaa.gov,turrid snails,Encountered,72058
NMFS AFSC GAP Survey,Aforia sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72059
NMFS AFSC GAP Survey,Aforia goodei,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72060
NMFS AFSC GAP Survey,Aforia kincaidi,Emily Markowtiz,emily.markowitz@noaa.gov,Kinkaid Aforia,Encountered,72062
NMFS AFSC GAP Survey,Aforia circinata,Emily Markowtiz,emily.markowitz@noaa.gov,keeled Aforia,Encountered,72063
NMFS AFSC GAP Survey,Epitonium sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72064
NMFS AFSC GAP Survey,Boreoscala greenlandica,Emily Markowtiz,emily.markowitz@noaa.gov,Greenland wentletrap,Encountered,72065
NMFS AFSC GAP Survey,Epitonium indianorum,Emily Markowtiz,emily.markowitz@noaa.gov,money wentletrap,Encountered,72066
NMFS AFSC GAP Survey,Boreoscala sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72067
NMFS AFSC GAP Survey,Carinoturris fortis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72070
NMFS AFSC GAP Survey,Acirsa borealis,Emily Markowtiz,emily.markowitz@noaa.gov,Aleutian wentletrap,Encountered,72071
NMFS AFSC GAP Survey,Oenopota sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72100
NMFS AFSC GAP Survey,Oenopota harpa,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72103
NMFS AFSC GAP Survey,Propebela nobilis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72104
NMFS AFSC GAP Survey,Propebela fidicula,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,72105
