Project Request,Scientific Name,Point of Contact for Submission,Email,ITIS TSN,ITIS accepted Taxon
CalCOFI Ichthyoplankton,Tarletonbeania crenularis,Ed Weber,ed.weber@noaa.gov,162673,Tarletonbeania crenularis
CalCOFI Ichthyoplankton,Teleostei,Ed Weber,ed.weber@noaa.gov,161105,Teleostei
CalCOFI Ichthyoplankton,Tetragonurus atlanticus,Ed Weber,ed.weber@noaa.gov,172581,Tetragonurus atlanticus
CalCOFI Ichthyoplankton,Tetragonurus cuvieri,Ed Weber,ed.weber@noaa.gov,172580,Tetragonurus cuvieri
CalCOFI Ichthyoplankton,Teuthida,Ed Weber,ed.weber@noaa.gov,82367,Teuthida
CalCOFI Ichthyoplankton,Trachipteridae,Ed Weber,ed.weber@noaa.gov,166339,Trachipteridae
CalCOFI Ichthyoplankton,Trachipterus,Ed Weber,ed.weber@noaa.gov,166340,Trachipterus
CalCOFI Ichthyoplankton,Trachipterus altivelis,Ed Weber,ed.weber@noaa.gov,166341,Trachipterus altivelis
CalCOFI Ichthyoplankton,Trachurus symmetricus,Ed Weber,ed.weber@noaa.gov,168586,Trachurus symmetricus
CalCOFI Ichthyoplankton,Tremoctopus,Ed Weber,ed.weber@noaa.gov,82667,Tremoctopus
CalCOFI Ichthyoplankton,Tremoctopus violaceus,Ed Weber,ed.weber@noaa.gov,82668,Tremoctopus violaceus
CalCOFI Ichthyoplankton,Triphoturus,Ed Weber,ed.weber@noaa.gov,162765,Triphoturus
CalCOFI Ichthyoplankton,Triphoturus mexicanus,Ed Weber,ed.weber@noaa.gov,162766,Triphoturus mexicanus
CalCOFI Ichthyoplankton,Triphoturus nigrescens,Ed Weber,ed.weber@noaa.gov,623873,Triphoturus nigrescens
CalCOFI Ichthyoplankton,Typhlogobius californiensis,Ed Weber,ed.weber@noaa.gov,171914,Typhlogobius californiensis
CalCOFI Ichthyoplankton,Umbrina roncador,Ed Weber,ed.weber@noaa.gov,169303,Umbrina roncador
CalCOFI Ichthyoplankton,Valenciennellus tripunctulatus,Ed Weber,ed.weber@noaa.gov,162203,Valenciennellus tripunctulatus
CalCOFI Ichthyoplankton,Vinciguerria,Ed Weber,ed.weber@noaa.gov,162192,Vinciguerria
CalCOFI Ichthyoplankton,Vinciguerria lucetia,Ed Weber,ed.weber@noaa.gov,182865,Vinciguerria lucetia
CalCOFI Ichthyoplankton,Vinciguerria poweriae,Ed Weber,ed.weber@noaa.gov,162195,Vinciguerria poweriae
CalCOFI Ichthyoplankton,Woodsia nonsuchae,Ed Weber,ed.weber@noaa.gov,162211,Woodsia nonsuchae
CalCOFI Ichthyoplankton,Xeneretmus,Ed Weber,ed.weber@noaa.gov,167466,Xeneretmus
CalCOFI Ichthyoplankton,Xeneretmus latifrons,Ed Weber,ed.weber@noaa.gov,167467,Xeneretmus latifrons
CalCOFI Ichthyoplankton,Xeneretmus leiops,Ed Weber,ed.weber@noaa.gov,167469,Xeneretmus leiops
CalCOFI Ichthyoplankton,Xenistius californiensis,Ed Weber,ed.weber@noaa.gov,169118,Xenistius californiensis
CalCOFI Ichthyoplankton,Xystreurys liolepis,Ed Weber,ed.weber@noaa.gov,172800,Xystreurys liolepis
CalCOFI Ichthyoplankton,Zaniolepis,Ed Weber,ed.weber@noaa.gov,167127,Zaniolepis
CalCOFI Ichthyoplankton,Zaniolepis frenata,Ed Weber,ed.weber@noaa.gov,167129,Zaniolepis frenata
CalCOFI Ichthyoplankton,Zaniolepis latipinnis,Ed Weber,ed.weber@noaa.gov,167128,Zaniolepis latipinnis
CalCOFI Ichthyoplankton,Zoarcidae,Ed Weber,ed.weber@noaa.gov,165215,Zoarcidae
CalCOFI Ichthyoplankton,Zoarcoidei,Ed Weber,ed.weber@noaa.gov,165214,Zoarcoidei
